BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,BodyMass,OccasionDate,LayYear,SexEstimate,LastSighting,TerritoryID,FieldPeriodID,BreedGroupID
2659,6036.634307,44,A,26.5,26.7,16.4,04/07/1998,1986,1,16/09/1998,5,25,191
72,3596.038169,51,A,26.0,,15.9,18/06/2003,1986,1,01/08/2003,51,30,481
2214,765.1078595,51,A,,25.3,15.6,21/06/1995,1986,1,01/08/2003,49,19,2104
2214,701.912625,51,A,,25.3,15.6,21/06/1995,1986,1,01/08/2003,49,19,2104
2623,4561.958594,64,A,24.5,24.4,14.1,12/02/1998,1987,0,12/02/1998,103,23,164
2414,9330.150793,65,A,25.9,25.9,18.6,26/07/1997,1987,1,12/03/1998,56,22,48
2422,9212.594071,163,A,24.2,24.2,14.8,28/07/1997,1987,0,12/09/1998,59,22,50
2422,4212.679195,163,A,24.2,24.2,14.8,28/07/1997,1987,0,12/09/1998,59,22,50
1836,5557.461714,165,A,26.9,,17.0,01/05/1996,1989,1,22/01/1998,301,49,3551
2533,3108.99856,172,A,25.0,25.1,15.4,05/07/1997,1989,0,14/08/1997,24,22,2302
1020,4729.71752,176,A,26.0,,17.5,26/07/2002,1988,1,12/06/2003,63,41,813
1037,3934.498084,199,A,22.9,,17.0,02/08/2002,1987,0,03/01/2004,42,41,799
2196,2713.899527,199,A,,23.3,14.5,11/06/1995,1987,0,03/01/2004,41,19,2101
2196,2055.066179,199,A,,23.3,14.5,11/06/1995,1987,0,03/01/2004,41,19,2101
2543,5558.123876,208,A,26.0,25.9,16.3,13/07/1997,1988,1,05/03/1998,162,22,109
2194,9735.550064,216,A,,26,17.0,10/06/1995,1988,1,02/12/1999,53,19,2107
2289,1882.460431,220,A,,26.7,15.1,06/06/1995,1988,1,04/07/2001,26,19,3314
2652,13664.47279,220,A,26.0,25.9,15.0,23/03/1998,1988,1,04/07/2001,26,23,132
2652,4669.85655,220,A,26.0,25.9,15.0,23/03/1998,1988,1,04/07/2001,26,23,132
56,5840.987477,221,A,27.8,,16.0,10/06/2003,1988,1,20/11/2005,45,30,475
2193,11583.99751,221,A,,26.9,16.9,09/06/1995,1988,1,20/11/2005,45,19,1
2412,6333.832127,221,A,28.1,27.8,16.9,26/07/1997,1988,1,20/11/2005,45,22,39
2851,8562.140497,221,A,27.9,,16.0,20/11/2005,1988,1,20/11/2005,42,54,6337
2402,5633.856805,297,A,,23.5,15.2,29/06/1996,1988,0,05/07/2001,115,21,2267
846,18452.17091,308,A,24.8,24.5,14.6,01/12/1999,1990,0,02/07/2001,53,29,2565
846,4930.339469,308,A,24.8,24.5,14.6,01/12/1999,1990,0,02/07/2001,53,29,2565
2526,11661.11742,329,A,24.6,24.1,14.1,11/07/1997,1988,0,02/12/1999,115,22,85
403,9603.91412,441,A,25.0,,15.3,09/08/2004,1992,0,08/01/2007,38,34,588
2565,8881.450945,441,A,25.4,25.1,15.6,20/07/1997,1992,0,08/01/2007,38,22,35
2491,7029.914988,449,A,25.6,25.5,15.4,06/07/1997,,0,06/12/1999,52,22,44
728,7857.437441,450,A,23.1,22.7,14.5,30/04/1999,1992,0,02/12/1999,84,27,334
117,6738.327933,453,A,26.3,,,09/07/2003,1992,1,17/02/2010,69,30,496
3217,7619.114482,453,A,26.7,,16.5,24/08/2006,1992,1,17/02/2010,69,75,3811
1124,3897.81455,454,A,24.2,,14.5,12/09/2002,1992,0,01/01/2004,45,41,801
2423,10295.08188,455,A,23.9,23.9,15.2,29/07/1997,1992,0,14/08/1997,48,22,41
238,6875.515266,458,A,25.1,,13.4,15/12/2003,1992,0,13/08/2005,14,31,2600
1021,6521.193554,459,A,24.9,,15.1,26/07/2002,1992,0,16/01/2007,55,41,810
2223,7356.027663,467,A,,26.1,17.1,25/06/1995,1992,1,07/12/1999,172,19,2176
2507,3193.87949,467,A,26.8,26.1,,08/07/1997,1992,1,07/12/1999,169,22,115
2649,21245.32272,467,A,26.7,26.5,15.8,19/03/1998,1992,1,07/12/1999,67,23,146
2649,7511.518545,467,A,26.7,26.5,15.8,19/03/1998,1992,1,07/12/1999,67,23,146
2420,7360.581964,477,A,25.0,25.1,15.3,27/07/1997,,1,21/02/1998,126,22,92
719,6134.374529,494,A,25.2,24.9,14.6,15/04/1999,1990,1,30/06/2001,40,27,324
2276,7917.616581,494,A,,25.4,16.2,31/05/1995,1990,1,30/06/2001,40,19,2100
2276,11916.45064,494,A,,25.4,16.2,31/05/1995,1990,1,30/06/2001,40,19,2100
2285,5680.417479,495,A,,24.9,16.8,05/06/1995,1993,1,01/07/2001,9,19,2083
2285,4873.509302,495,A,,24.9,16.8,05/06/1995,1993,1,01/07/2001,9,19,2083
401,6899.440002,497,A,26.9,,17.0,02/08/2004,1993,1,31/08/2007,8,34,570
401,5731.527597,497,A,26.9,,17.0,02/08/2004,1993,1,31/08/2007,8,34,570
401,7337.463988,497,A,26.9,,17.0,02/08/2004,1993,1,31/08/2007,8,34,570
901,7357.344828,497,A,26.4,26.3,16.2,05/08/2000,1993,1,31/08/2007,8,39,3032
2291,8001.860901,497,A,,27,16.8,07/06/1995,1993,1,31/08/2007,8,19,2082
2291,6345.911695,497,A,,27,16.8,07/06/1995,1993,1,31/08/2007,8,19,2082
2538,9212.594071,497,A,27.0,27.1,16.9,13/07/1997,1993,1,31/08/2007,8,22,19
3850,4578.024707,497,A,26.7,,16.7,31/08/2007,1993,1,31/08/2007,8,82,4194
2640,8139.868435,498,A,25.6,25.4,15.9,06/03/1998,1993,1,10/03/1998,148,23,178
2522,11835.39201,500,A,24.5,24.7,16.1,05/07/1997,1991,0,23/06/1998,40,22,36
141,5420.355438,501,A,,,,20/07/2003,1994,1,18/12/2004,2,30,445
2496,8081.122652,501,A,26.6,26.3,16.9,27/12/1997,1994,1,18/12/2004,2,23,119
128,4133.574944,503,A,24.9,,15.0,11/07/2003,1993,0,11/01/2008,33,30,469
3776,4639.190786,503,A,24.5,,14.0,24/07/2007,1993,0,11/01/2008,33,82,4212
712,2716.809066,504,A,24.1,24.1,15.5,28/01/1999,1993,0,12/09/1999,5,26,2405
2718,11606.86586,504,A,23.7,24,15.6,23/08/1998,1993,0,12/09/1999,5,25,191
217,6206.200026,507,A,25.9,,17.4,27/08/2003,1993,1,26/08/2008,30,30,467
217,1317.201464,507,A,25.9,,17.4,27/08/2003,1993,1,26/08/2008,30,30,467
217,6685.128416,507,A,25.9,,17.4,27/08/2003,1993,1,26/08/2008,30,30,467
2197,5281.928057,507,A,,25.4,16.1,11/06/1995,1993,1,26/08/2008,30,19,2095
2197,4259.232774,507,A,,25.4,16.1,11/06/1995,1993,1,26/08/2008,30,19,2095
2671,5314.373737,507,A,26.1,26.1,15.5,27/07/1998,1993,1,26/08/2008,45,25,216
3341,3579.714551,507,A,26.1,,15.9,23/01/2007,1993,1,26/08/2008,30,77,3900
2222,7141.79117,509,A,,26.1,16.3,25/06/1995,1993,1,20/07/2002,172,19,2176
2222,3411.816751,509,A,,26.1,16.3,25/06/1995,1993,1,20/07/2002,172,19,2176
2618,8820.188579,509,A,25.7,25.9,15.0,06/02/1998,1993,1,20/07/2002,164,23,182
2345,3914.792053,510,A,,25.7,15.8,30/06/1996,1993,1,16/01/2007,59,21,2234
2345,3480.340565,510,A,,25.7,15.8,30/06/1996,1993,1,16/01/2007,59,21,2234
2421,5897.666046,510,A,25.8,25.7,15.5,27/07/1997,1993,1,16/01/2007,59,22,50
2383,3761.290136,522,A,,24.9,18.7,29/06/1996,1993,0,02/12/1999,86,21,2250
2383,6182.551138,522,A,,24.9,18.7,29/06/1996,1993,0,02/12/1999,86,21,2250
2637,12353.56845,522,A,24.2,23.9,13.5,03/03/1998,1993,0,02/12/1999,86,23,155
766,6469.829109,525,A,26.5,26.6,18.1,15/08/1999,1993,1,13/09/1999,99,28,412
2239,7025.505026,525,A,,26.1,15.4,05/07/1995,1993,1,13/09/1999,99,19,2131
2239,13776.17784,525,A,,26.1,15.4,05/07/1995,1993,1,13/09/1999,99,19,2131
2624,8328.716171,528,A,25.0,24.7,14.1,12/02/1998,1993,0,24/03/1998,103,23,164
2513,1818.441493,530,A,24.5,24.6,14.1,09/07/1997,1993,0,12/02/1998,104,22,78
137,4572.923708,544,A,25.7,,16.2,17/07/2003,1993,1,29/08/2004,159,30,543
137,4086.867832,544,A,25.7,,16.2,17/07/2003,1993,1,29/08/2004,159,30,543
263,4871.425095,544,A,26.0,,15.6,27/12/2003,1993,1,29/08/2004,159,31,2697
2521,13202.59175,550,A,26.7,26.6,17.3,11/07/1997,1993,1,06/03/1998,141,22,102
807,5857.608886,557,A,26.1,26.2,16.8,07/09/1999,1993,1,07/09/1999,57,28,387
2666,7683.659659,557,A,25.2,25.1,16.6,23/07/1998,1993,1,07/09/1999,55,25,223
2454,11126.62071,559,A,26.2,26.6,15.8,09/08/1997,1993,1,05/07/1998,165,22,111
2454,8900.71022,559,A,26.2,26.6,15.8,09/08/1997,1993,1,05/07/1998,165,22,111
2160,3321.698047,563,A,,24,17.9,27/05/1995,1994,0,20/08/2007,166,19,2170
2681,10573.57995,563,A,24.2,24.2,15.3,05/08/1998,1994,0,20/08/2007,160,25,274
357,6317.106548,595,A,24.6,,14.9,05/07/2004,1993,0,18/12/2004,9,34,571
2537,6598.827921,596,A,23.7,23.8,13.9,13/07/1997,1993,0,27/08/1999,8,22,19
2199,3621.455232,604,A,,24.3,13.6,12/06/1995,1993,0,27/07/1999,47,19,2103
2673,5088.93059,604,A,24.6,24.5,14.0,27/07/1998,1993,0,27/07/1999,45,25,216
2220,5294.252846,606,A,,25.7,16.0,28/05/1995,1993,1,05/03/1998,62,19,2114
2220,5446.464922,606,A,,25.7,16.0,28/05/1995,1993,1,05/03/1998,62,19,2114
2411,6630.04352,606,A,25.5,25.2,16.5,26/07/1997,1993,1,05/03/1998,62,22,52
2411,5992.764652,606,A,25.5,25.2,16.5,26/07/1997,1993,1,05/03/1998,62,22,52
2665,5366.940808,607,A,25.5,25.8,16.5,23/07/1998,1993,1,03/07/2001,55,25,223
2344,5825.781538,608,A,,24.2,16.5,30/06/1996,1993,0,14/02/1998,59,21,2234
2417,13738.75446,608,A,24.6,,15.5,27/07/1997,1993,0,14/02/1998,59,22,50
66,10576.09074,609,A,25.9,,16.0,15/06/2003,1993,1,20/11/2005,42,30,473
2295,7224.369006,609,A,,26.9,16.4,08/06/1995,1993,1,20/11/2005,44,19,2102
2426,7913.394457,609,A,26.4,26.4,14.3,05/07/1997,1993,1,20/11/2005,42,22,37
2848,4345.956122,609,A,26.4,,,20/11/2005,1993,1,20/11/2005,42,54,6337
2244,5291.125208,628,A,,23.4,14.5,09/07/1995,1993,0,04/06/2004,76,19,2121
2244,5911.890441,628,A,,23.4,14.5,09/07/1995,1993,0,04/06/2004,76,19,2121
