BloodID,TL,Whodunnit,PlateID,BirdID,Objective,Ageclass,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,TerritoryID,Status,BreedGroupID,SexEstimate,MaxOfMaxOfSeenDate
5697,4055.121235,EAF,17,5583,9,A,21.9,,14.9,RB,2010,122,4846,05/09/2013,159,BrM,6205,1,31/08/2015
877,3986.457975,EB,15,1576,5,OFL,23.8,23.4,14.7,,2000,39,1018,01/08/2000,15,OFL,3036,0,12/03/2010
879,3636.415507,EB,26,1859,1,A,23.0,23.1,14.1,,1988,39,1018,01/08/2000,15,BrF,3036,0,01/08/2000
912,3347.642266,EB,16,1591,5,FL,25.7,25.9,15.5,,2000,39,1025,11/08/2000,24,FL,3042,1,18/11/2005
924,10294.91585,EAF,29,1599,6,CH,,, 9.7,,2000,39,1027,13/08/2000,28,FL,3046,0,09/07/2001
924,7341.045538,EB,17,1599,5,CH,,, 9.7,,2000,39,1027,13/08/2000,28,FL,3046,0,09/07/2001
900,2959.955755,EB,16,1586,5,OFL,24.4,24,14.7,,2000,39,1022,05/08/2000,33,OFL,3049,0,12/07/2001
904,6668.778385,EB,27,1166,1,A,25.4,25.5,15.8,,1996,39,1022,05/08/2000,35,BrM,3050,1,30/08/2004
903,5733.768345,EB,27,1515,1,SA,25.6,25.5,16.1,,1999,39,1022,05/08/2000,35,ABX,3050,1,04/07/2001
917,3246.856937,EAF,34,1165,7,A,,,,,1996,39,1025,11/08/2000,38,BrM,3052,1,29/11/2005
917,4509.85723,EAF,33,1165,7,A,,,,,1996,39,1025,11/08/2000,38,BrM,3052,1,29/11/2005
915,4520.43923,EB,17,1594,5,FL,24.5,24.6,14.5,,2000,39,1025,11/08/2000,38,FL,3052,1,11/08/2000
875,8557.591672,EB,26,1385,1,A,25.0,24.7,16.6,,1998,39,1017,30/07/2000,43,BrF,3055,0,30/07/2000
875,7425.020806,EAF,31,1385,6,A,25.0,24.7,16.6,,1998,39,1017,30/07/2000,43,BrF,3055,0,30/07/2000
874,5082.986682,EAF,31,1390,6,A,23.9,24.2,13.6,,1998,39,1017,30/07/2000,45,SEEN1,3056,0,12/08/2003
874,4290.339328,EB,26,1390,1,A,23.9,24.2,13.6,,1998,39,1017,30/07/2000,45,SEEN1,3056,0,12/08/2003
880,2080.207345,EB,27,848,1,A,24.1,23.9,13.6,,1994,39,1018,01/08/2000,52,U,3061,0,01/08/2000
882,15878.93359,EB,31,1370,1,A,26.3,26.2,16.4,,1997,39,1019,02/08/2000,52,ABX,3061,1,25/05/2004
883,3645.749774,EB,27,1384,1,A,22.9,23.2,14.6,,1998,39,1019,02/08/2000,52,BrF,3061,0,10/08/2009
872,2835.719113,EB,15,1574,5,FL,25.2,25.3,15.4,,2000,39,1016,29/07/2000,53,OFL,3062,1,29/07/2000
884,12819.80402,EAF,25,1552,7,A,24.2,24.1,15.2,,1999,39,1019,02/08/2000,54,SEEN1,3063,0,24/09/2002
884,6246.941026,EAF,26,1552,7,A,24.2,24.1,15.2,,1999,39,1019,02/08/2000,54,SEEN1,3063,0,24/09/2002
884,5741.650992,EB,27,1552,1,A,24.2,24.1,15.2,,1999,39,1019,02/08/2000,54,SEEN1,3063,0,24/09/2002
871,3407.943039,EB,15,1573,5,OFL,23.5,23.8,14.2,,2000,39,1016,29/07/2000,57,OFL,3065,0,29/06/2001
873,4952.382652,EB,26,1032,1,A,25.6,25.7,,,1996,39,1016,29/07/2000,60,BrM,3066,1,10/07/2001
870,3583.653042,EB,15,1572,5,FL,24.9,25,14.4,,2000,39,1016,29/07/2000,60,FL,3066,1,26/05/2004
869,6045.369247,EAF,31,1571,6,CH,23.9,23.6,14.6,,2000,39,1015,25/07/2000,63,FL,3069,0,25/07/2000
878,5019.359287,EB,26,1186,1,A,24.8,24.9,15.1,,1996,39,1018,01/08/2000,72,BrF,3075,0,20/07/2002
876,2582.460022,EB,15,1575,5,OFL,24.8,24.4,14.0,,2000,39,1018,01/08/2000,72,OFL,3075,0,05/07/2001
896,7611.316649,EAF,43,1196,7,A,26.2,26.2,17.9,,1996,39,1021,04/08/2000,88,BrM,3088,1,04/09/2009
896,7433.798,EAF,33,1196,7,A,26.2,26.2,17.9,,1996,39,1021,04/08/2000,88,BrM,3088,1,04/09/2009
896,4849.04254,EAF,34,1196,7,A,26.2,26.2,17.9,,1996,39,1021,04/08/2000,88,BrM,3088,1,04/09/2009
897,4385.455345,EB,16,1512,5,SA,26.1,26.1,16.5,,1999,39,1021,04/08/2000,88,ABX,3088,1,15/01/2008
894,3216.369853,EB,16,1583,5,OFL,26.0,26.2,15.6,,2000,39,1021,04/08/2000,88,OFL,3088,1,24/08/2002
920,4523.408629,EB,17,1596,5,FL,24.6,24.5,15.1,,2000,39,1026,12/08/2000,89,FL,3089,1,12/08/2000
888,4390.693853,EB,27,632,1,A,25.3,25.3,15.1,,1993,39,1020,03/08/2000,90,BrM,3090,1,03/08/2000
889,14926.56323,EB,31,858,1,A,24.8,24.8,16.4,,1994,39,1020,03/08/2000,92,BrF,3091,0,03/08/2000
890,9563.406532,EB,31,1063,1,A,24.9,24.7,15.7,,1996,39,1020,03/08/2000,92,BrM,3091,1,03/08/2000
887,4678.710503,EB,15,1579,5,FL,25.1,25.5,15.5,,2000,39,1020,03/08/2000,95,OFL,3093,1,02/08/2008
893,3373.682417,EB,16,1582,5,OFL,26.0,26,16.5,,2000,39,1021,04/08/2000,99,OFL,3095,1,04/08/2000
892,3592.732529,EB,15,1581,5,OFL,25.7,25.4,15.6,,2000,39,1021,04/08/2000,99,OFL,3095,1,05/02/2009
895,5137.591074,EB,27,1527,1,SA,24.5,24.5,14.4,,1999,39,1021,04/08/2000,101,ABX,3097,0,04/08/2000
891,4199.208544,EB,15,1580,5,FL,24.0,24.1,14.1,,2000,39,1021,04/08/2000,101,FL,3097,0,13/08/2015
913,3682.50251,EB,16,1592,5,FL,24.3,24.2,15.0,,2000,39,1025,11/08/2000,109,FL,3100,0,12/07/2001
921,4877.09704,EB,17,1597,5,OFL,24.5,24.6,14.2,,2000,39,1026,12/08/2000,117,OFL,3105,0,05/07/2004
922,6970.957544,EB,17,1598,5,OFL,24.0,24.1,14.6,,2000,39,1026,12/08/2000,117,OFL,3105,0,13/01/2007
923,6638.678408,EAF,7,1198,8,A,,,,,1996,39,1026,12/08/2000,117,BrM,3105,1,12/08/2000
910,7152.924204,EAF,15,1429,6,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
910,6859.822641,EAF,16,1429,6,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
910,6007.081839,EAF,14,1429,6,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
910,8954.934762,EAF,10,1429,6,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
910,4537.705993,EAF,13,1429,6,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
910,7941.413557,EAF,12,1429,6,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
910,7154.623938,EAF,19,1429,6,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
910,6827.509858,EAF,22,1429,6,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
910,6645.311548,EAF,20,1429,6,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
910,6667.576921,EAF,21,1429,6,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
906,3567.000447,EB,16,1588,5,OFL,23.5,23.5,13.8,,2000,39,4583,07/08/2000,134,OFL,3116,0,25/06/2004
908,2357.416098,EAF,38,847,8,A,25.0,25,15.0,,1994,39,4583,07/08/2000,138,BrM,3118,1,07/08/2000
909,1453.605837,EAF,5,1382,8,A,,,,,1997,39,4583,07/08/2000,138,BrF,3118,0,07/08/2000
907,2832.134757,EB,16,1589,5,OFL,23.9,23.1,14.1,,2000,39,4583,07/08/2000,138,OFL,3118,0,14/08/2008
905,4683.493246,EB,38,1587,1,A,25.6,25.5,16.4,,1999,39,4583,07/08/2000,144,BrM,3121,1,13/01/2007
918,1527.329128,EAF,14,1395,8,A,,,,,1997,39,1025,11/08/2000,166,BrM,3128,1,04/01/2005
919,3836.515053,EAF,26,1416,7,A,,,,,1998,39,1025,11/08/2000,168,BrM,3129,1,11/08/2000
919,6282.970032,EAF,25,1416,7,A,,,,,1998,39,1025,11/08/2000,168,BrM,3129,1,11/08/2000
916,4480.382196,EB,17,1595,5,OFL,24.5,24.6,15.4,,2000,39,1025,11/08/2000,168,OFL,3129,1,14/07/2007
925,5445.298675,EB,17,1600,5,CH,,,11.8,,2000,39,1027,13/08/2000,171,CH,3131,1,05/07/2001
925,8621.125011,EAF,29,1600,6,CH,,,11.8,,2000,39,1027,13/08/2000,171,CH,3131,1,05/07/2001
885,3731.441419,EB,15,1504,5,SA,27.4,27.2,15.7,,1999,39,1019,02/08/2000,-3,FLOAT,7026,1,24/08/2010
914,2689.11164,EB,16,1593,5,FL,25.4,25,15.6,,2000,39,1025,11/08/2000,-3,FLOAT,7026,1,30/08/2008
2511,5140.825078,EB,1,1033,1,A,25.0,25.4,13.6,,1996,22,669,04/07/1997,1,H,15,0,14/08/1997
2470,7955.657028,EB,2,912,1,A,24.5,24.1,14.6,,1994,22,676,06/07/1997,1,BrF,15,0,30/07/2008
2403,5399.239015,EB,1,922,1,A,25.9,25.4,18.0,,1994,22,668,04/07/1997,1,BrM,15,1,11/09/1999
2492,2923.658863,EB,32,1151,1,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,1,SEEN1,15,1,16/08/1999
2492,12525.02865,EB,37,1151,1,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,1,SEEN1,15,1,16/08/1999
2415,5716.853173,EB,2,1163,1,SA,26.6,26.9,16.1,,1996,22,670,05/07/1997,1,SEEN2,15,1,05/07/1997
2537,5305.791274,EB,35,596,1,A,23.7,23.8,13.9,,1993,22,689,13/07/1997,8,BrF,19,0,27/08/1999
2538,6960.138241,EB,36,497,1,A,27.0,27.1,16.9,,1993,22,689,13/07/1997,8,BrM,19,1,31/08/2007
2536,3275.130639,EB,34,1187,1,SA,26.8,26.7,14.6,,1996,22,689,13/07/1997,8,SEEN1,19,1,05/09/2010
2521,10233.75257,EB,29,550,1,A,26.7,26.6,17.3,,1993,22,686,11/07/1997,8,SEEN1,19,1,06/03/1998
2406,14258.32153,EAF,18,1219,8,SA,24.5,24.4,12.6,,1996,22,715,26/07/1997,14,H,22,0,21/06/1998
2407,13852.74649,EAF,12,458,8,A,25.4,25.3,13.2,,1992,22,715,26/07/1997,14,BrF,22,0,13/08/2005
2409,1726.198826,EAF,3,499,8,A,25.0,25,16.0,,1993,22,715,26/07/1997,14,BrM,22,1,04/07/2006
2433,3139.339841,EAF,3,1210,8,CH,24.1,26.4,14.9,,1997,22,727,02/08/1997,14,FL,22,0,02/08/1997
2459,7715.17686,EAF,10,1042,8,A,25.3,25.2,14.6,,1996,22,674,06/07/1997,14,SEEN1,22,0,30/06/2015
2459,1321.155044,EB,34,1042,1,A,25.3,25.2,14.6,,1996,22,674,06/07/1997,14,SEEN1,22,0,30/06/2015
2408,18913.44574,EAF,42,1042,7,A,25.3,25.4,,,1996,22,715,26/07/1997,14,SEEN1,22,0,30/06/2015
2558,6864.028605,EB,8,1186,1,A,24.9,24.8,15.2,,1996,22,698,16/07/1997,20,SEEN1,25,0,20/07/2002
2533,2506.99868,EB,30,172,1,A,25.0,25.1,15.4,,1989,22,670,05/07/1997,22,BrF,26,0,14/08/1997
2465,4517.775508,EB,30,1861,1,A,26.7,26.6,15.2,,1994,22,746,14/08/1997,22,BrM,26,1,14/08/1997
2416,8208.965121,EAF,5,1224,8,OFL,25.4,25.3,12.9,,1997,22,718,27/07/1997,24,OFL,2302,1,07/09/1998
2416,3737.773098,EB,1,1224,5,OFL,25.4,25.3,12.9,,1997,22,718,27/07/1997,24,OFL,2302,1,07/09/1998
2544,9208.673196,EB,1,1161,1,SA,25.5,25.3,15.0,,1996,22,672,05/07/1997,24,SEEN1,2302,0,05/07/2001
