BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,OccasionDate,OccasionID,MinOfFieldPeriodID,BreedGroupID,TerritoryID,Status,MaxOfMaxOfSeenDate,LayYear,SexEstimate,BodyMass
2,0.790434136,1757,A,24.6,,23/09/2002,1117,41,811,58,BrF,07/09/2010,2001,0,15.6
8,4014.14467,1760,A,24.6,,02/10/2002,1122,41,3276,121,BrF,30/07/2006,2001,0,15.0
45,2112.620752,1705,A,24.3,,07/06/2003,1124,30,444,1,H,11/12/2005,2002,0,14.4
46,3416.383898,912,A,24.4,,07/06/2003,1124,30,444,1,BrF,30/07/2008,1994,0,14.9
48,6178.037969,1287,A,25.9,,08/06/2003,1125,30,446,3,BrM,18/11/2005,1998,1,17.1
49,11891.41473,1763,A,23.6,,08/06/2003,1125,30,446,3,BrF,26/09/2013,2002,0,14.1
51,13716.62535,1222,A,24.9,,08/06/2003,1125,30,472,40,BrF,19/08/2004,1997,0,
52,3599.831419,1684,A,25.5,,08/06/2003,1125,30,472,40,BrM,26/07/2011,2000,1,17.3
54,9020.642722,1765,A,24.4,,10/06/2003,1126,30,477,47,BrF,25/02/2012,2002,0,14.1
55,6420.151127,921,A,24.5,,10/06/2003,1126,30,477,47,BrM,15/12/2003,1994,1,15.2
56,5652.338559,221,A,27.8,,10/06/2003,1126,30,475,45,BrM,20/11/2005,1988,1,16.0
57,4164.549622,1753,A,24.3,,11/06/2003,1127,30,458,17,BrF,18/07/2011,2002,0,14.4
58,5266.724854,1711,A,25.6,,12/06/2003,1128,30,503,77,ABX,18/11/2005,2001,1,16.4
59,6096.903673,1040,A,26.2,,13/06/2003,1129,30,522,109,BrM,23/06/2006,1995,1,16.6
60,5989.333392,1743,A,25.1,,13/06/2003,1129,30,2581,39,H,02/01/2009,2002,1,16.1
61,4768.188202,1666,A,25.2,,13/06/2003,1129,30,2581,39,BrM,24/06/2004,2001,1,16.3
63,4397.871551,1673,A,24.5,,14/06/2003,1130,30,457,16,H,26/10/2004,2001,0,14.1
64,4677.002479,1767,A,27.0,,15/06/2003,1131,30,453,12,B,17/08/2007,2002,1,15.0
65,4542.172974,1660,A,24.9,,15/06/2003,1132,30,450,8,H,24/02/2015,2002,0,14.4
66,20152.14605,609,A,25.9,,15/06/2003,1133,30,473,42,BrM,20/11/2005,1993,1,16.0
67,3493.842416,1543,A,25.4,,15/06/2003,1132,30,473,42,H,14/09/2009,1999,1,16.5
68,6834.255005,1553,A,26.2,,17/06/2003,1134,30,480,50,BrM,23/02/2010,1999,1,15.4
69,4510.6671,1504,A,27.7,,17/06/2003,1134,30,484,54,BrM,24/08/2010,1999,1,17.0
72,2869.54549,51,A,26.0,,18/06/2003,1135,30,481,51,BrM,01/08/2003,1986,1,15.9
79,4007.392271,1509,A,26.1,,22/06/2003,1140,30,449,7,BrM,31/08/2010,1999,1,16.8
80,11068.4645,1740,A,25.0,,22/06/2003,1141,30,459,20,BrF,24/01/2009,2001,0,15.6
81,4429.970106,1750,A,26.4,,22/06/2003,1140,30,449,7,ABX,03/02/2015,2002,1,16.4
83,2479.411937,1771,A,24.4,,23/06/2003,1142,30,448,5,BrF,23/08/2003,2001,0,14.6
86,3187.393962,1419,A,23.8,,24/06/2003,1143,30,460,22,BrF,10/01/2008,1999,0,13.8
87,4037.636385,1673,A,24.7,,25/06/2003,1146,30,457,16,H,26/10/2004,2001,0,14.4
88,2509.065871,1720,A,26.2,,25/06/2003,1145,30,463,25,H,05/08/2006,2001,1,15.0
89,25476.59036,1506,A,24.0,,25/06/2003,1145,30,463,25,BrF,07/01/2007,1999,0,14.9
90,5031.315751,1773,A,25.9,,26/06/2003,1148,30,465,27,BrM,02/09/2005,2002,1,16.2
93,6494.414974,1776,SA,24.3,,28/06/2003,1149,30,525,112,ABX,17/01/2008,2002,0,13.9
94,6187.16604,1731,A,25.3,,28/06/2003,1150,30,505,80,H,25/07/2013,2002,1,15.8
95,4461.816601,1775,A,25.3,,28/06/2003,1149,30,455,14,B,07/01/2007,2002,1,15.2
96,5272.004147,1510,A,24.1,,28/06/2003,1150,30,525,112,BrF,07/01/2009,1999,0,14.0
98,4450.172378,1396,A,25.0,,28/06/2003,1150,30,525,112,BrM,10/07/2007,1998,1,16.4
102,5386.913452,1355,A,25.2,,29/06/2003,1151,30,504,79,BrF,19/08/2003,1997,0,15.4
106,6333.778235,1609,A,24.6,,01/07/2003,1154,30,513,94,BrM,12/08/2003,2001,1,16.4
108,3336.425787,1782,A,23.7,,07/07/2003,1157,30,497,70,BrF,25/08/2010,2002,0,19.3
109,5315.767929,1782,A,23.7,,07/07/2003,1157,30,497,70,BrF,25/08/2010,2002,0,19.3
110,5070.18319,1495,A,25.6,,07/07/2003,1157,30,497,70,BrM,13/08/2009,1999,1,16.9
111,5425.344885,1756,A,25.3,,07/07/2003,1157,30,529,123,BrM,07/06/2005,2001,1,16.4
112,2976.470297,1188,A,25.4,,07/07/2003,1156,30,498,71,BrM,12/08/2010,1996,1,17.5
112,5640.736039,1188,A,25.4,,07/07/2003,1156,30,498,71,BrM,12/08/2010,1996,1,17.5
112,6422.070346,1188,A,25.4,,07/07/2003,1156,30,498,71,BrM,12/08/2010,1996,1,17.5
113,2978.779309,1783,J,25.3,,07/07/2003,1156,30,494,67,ABX,15/03/2010,2003,1,16.5
115,5667.995791,1540,A,25.7,,09/07/2003,1159,30,487,57,BrM,18/07/2003,1999,1,16.2
117,5410.470711,453,A,26.3,,09/07/2003,1159,30,496,69,BrM,17/02/2010,1992,1,
118,6093.985419,1698,A,27.0,,09/07/2003,1158,30,484,54,ABX,26/08/2010,2001,1,17.1
119,6800.850558,1570,A,26.0,,09/07/2003,1158,30,548,169,BrM,29/08/2004,1999,1,15.5
121,4655.11388,1539,A,25.6,,09/07/2003,1159,30,491,62,BrM,01/08/2008,1999,1,16.0
122,6290.06167,1682,A,25.5,,10/07/2003,1161,30,545,165,BrM,07/08/2008,2001,1,16.0
124,4993.43478,1786,A,25.6,,10/07/2003,1160,30,2582,59,BrM,15/08/2003,2002,1,15.6
125,5209.683867,1538,A,24.8,,10/07/2003,1160,30,491,62,BrF,03/08/2007,1999,0,15.8
127,3078.657386,1214,A,25.8,,11/07/2003,1163,30,469,33,BrM,14/07/2006,1997,1,15.4
128,3346.915541,503,A,24.9,,11/07/2003,1162,30,469,33,BrF,11/01/2008,1993,0,15.0
132,3503.794881,1394,A,25.6,,15/07/2003,1166,30,518,100,BrM,01/03/2010,1998,1,16.2
134,4134.321038,1049,A,24.0,,15/07/2003,1165,30,527,116,H,23/12/2003,1996,0,14.8
136,4355.06107,1728,A,26.1,,17/07/2003,1169,30,540,154,BrM,01/01/2005,2001,1,17.2
137,3756.816652,544,A,25.7,,17/07/2003,1169,30,543,159,BrM,29/08/2004,1993,1,16.2
138,2323.626892,1789,SA,23.8,,17/07/2003,1168,30,540,154,BrF,28/01/2008,2002,0,15.8
138,2588.90576,1789,SA,23.8,,17/07/2003,1168,30,540,154,BrF,28/01/2008,2002,0,15.8
139,4297.44378,1791,A,24.2,,17/07/2003,1168,30,541,155,U,20/02/2012,2002,0,15.4
141,5270.060766,501,A,,,20/07/2003,1170,30,445,2,BrM,18/12/2004,1994,1,
143,4481.35467,1793,A,25.8,,21/07/2003,1171,30,539,144,ABX,24/05/2004,2002,1,16.6
144,3975.12536,1275,A,24.7,,21/07/2003,1171,30,539,144,BrF,22/07/2005,1998,0,
145,5023.98414,1794,A,25.0,,22/07/2003,1173,30,536,138,H,29/08/2004,2002,1,16.0
146,924.1534839,927,A,25.0,,26/07/2003,1175,30,445,2,BrF,27/12/2003,1994,0,16.7
147,3909.820007,1795,A,25.4,,26/07/2003,1174,30,460,22,BrM,19/08/2009,2002,1,16.2
149,3082.108236,1697,A,25.7,,28/07/2003,1177,30,2585,93,BrF,11/01/2007,2002,0,14.6
152,2350.916171,1195,A,24.2,,29/07/2003,1179,30,513,94,BrF,07/09/2010,1996,0,16.2
153,22102.36364,1579,A,25.9,,29/07/2003,1178,30,551,174,BrM,02/08/2008,2000,1,18.5
156,6992.391712,1429,A,23.5,,31/07/2003,1182,30,3318,134,BrF,27/07/2006,1999,0,14.7
157,2133.563179,1587,A,25.8,,31/07/2003,1183,30,539,144,BrM,13/01/2007,1999,1,16.9
158,4873.605797,1581,A,26.1,,31/07/2003,1182,30,535,135,BrM,05/02/2009,2000,1,16.8
160,5107.577873,1745,A,26.6,,04/08/2003,1186,30,489,60,ABX,03/01/2004,2002,1,16.7
172,4845.069952,1800,A,25.7,,06/08/2003,1188,30,485,55,H,20/08/2007,2002,0,15.7
173,4101.760535,1199,A,26.0,,07/08/2003,1189,30,521,108,BrM,26/01/2008,1996,1,
174,3839.52042,1612,A,24.3,,07/08/2003,1189,30,521,108,BrF,17/12/2003,2000,0,
175,6272.416383,1244,A,23.0,,07/08/2003,1189,30,498,71,BrF,17/07/2008,1997,0,15.6
176,3314.646186,1806,CH,23.3,,11/08/2003,1193,30,536,138,FL,05/08/2004,2003,1,16.1
177,2981.205152,1801,SA,25.7,,09/08/2003,1190,30,2587,137,ABX,17/08/2013,2002,1,16.3
178,5680.19772,1802,A,26.1,,10/08/2003,1191,30,504,79,BrM,01/09/2010,2002,1,15.3
179,6189.944592,1803,A,25.3,,11/08/2003,1193,30,522,109,H,22/05/2013,2002,0,14.8
180,1076.178631,1804,CH,22.4,,11/08/2003,1193,30,447,4,FL,28/08/2008,2003,1,14.0
180,2995.532475,1804,CH,22.4,,11/08/2003,1193,30,447,4,FL,28/08/2008,2003,1,14.0
186,6584.161395,1699,A,26.4,,16/08/2003,1199,30,484,54,ABX,21/08/2006,2002,1,18.5
187,6921.336302,1821,A,25.1,,16/08/2003,1198,30,484,54,BrF,21/02/2015,2002,0,15.9
188,14538.25172,1598,A,24.4,,17/08/2003,1200,30,515,96,BrF,13/01/2007,2000,0,15.2
189,5330.770924,1822,A,25.5,,17/08/2003,1200,30,515,96,BrM,05/01/2005,2002,1,15.1
190,1544.158627,1533,A,26.8,,18/08/2003,1201,30,517,99,BrM,22/01/2015,1999,1,16.2
191,5827.024769,1823,A,26.7,,19/08/2003,1202,30,509,85,BrM,15/01/2008,2002,1,16.0
192,4664.370492,1491,A,24.4,,19/08/2003,1203,30,509,85,BrF,23/08/2010,1999,0,15.3
211,8198.443847,1213,A,25.0,,27/08/2003,1213,30,495,68,BrM,22/12/2004,1997,1,16.3
216,5217.219409,1503,A,25.0,,27/08/2003,1213,30,467,30,BrF,05/02/2008,1999,0,15.4
217,5052.289946,507,A,25.9,,27/08/2003,1213,30,467,30,BrM,26/08/2008,1993,1,17.4
231,3883.374374,1606,A,26.5,,13/12/2003,1224,31,2611,28,BrM,04/07/2006,2000,1,16.9
233,3663.930555,1501,A,24.4,,14/12/2003,1226,31,2611,28,BrF,10/08/2009,1998,0,14.6
234,2290.048505,1774,SA,24.6,,14/12/2003,1226,31,2611,28,ABX,28/08/2008,2002,1,16.5
235,5845.621493,1864,J,25.6,,15/12/2003,1228,31,2612,30,OFL,23/09/2013,2003,0,13.7
238,5785.925719,458,A,25.1,,15/12/2003,1228,31,2600,14,BrF,13/08/2005,1992,0,13.4
239,2879.494438,1773,A,25.9,,15/12/2003,1228,31,2610,27,BrM,02/09/2005,2002,1,16.5
240,3973.511458,1409,A,24.5,,15/12/2003,1228,31,2602,16,BrF,28/07/2006,1998,0,15.2
244,4455.823195,832,A,24.2,,19/12/2003,1235,31,2656,83,BrF,10/12/2005,1994,0,15.3
249,5898.460751,1869,J,24.3,,19/12/2003,1235,31,2656,83,OFL,22/01/2015,2003,1,14.6
251,15622.55813,1871,SA,25.9,,21/12/2003,1238,31,2665,94,BrM,06/01/2009,2003,1,15.7
252,5430.469587,1166,A,25.8,,22/12/2003,1240,31,2609,26,BrM,30/08/2004,1996,1,16.1
254,5366.001619,1550,A,24.3,,22/12/2003,1240,31,2609,26,BrF,01/08/2005,1999,0,14.1
